Date,bolling_upper,sma,bolling_lower,bbw,ema,macd,k,rsi,williams_r,atr,adx,adj_close
2002-02-11,-0.9127286406169183,-0.9102117330385253,-0.8949604453559918,-0.6918331879478378,-0.9112789169149627,0.31858080693211055,0.29305131972606646,-0.31750906605020024,-0.2930513197260666,-0.6449939259878001,0.08055778581514716,73.3238296508789
2002-02-12,-0.9130107678563032,-0.9104039991348025,-0.895009278249829,-0.6948297664772897,-0.9111022364229419,0.31598806971127225,0.30871570738247134,-0.14689515560496158,-0.3087157073824712,-0.6425564798154376,-0.21027919678610807,73.02143859863281
2002-02-13,-0.9138101283678939,-0.9108365978514263,-0.8951069440375037,-0.7039700409489831,-0.9111430112547082,0.3145581954391854,0.3035317387375285,-0.1932150609065726,-0.30353173873752826,-0.6514973794184931,-0.23534218098667037,73.79056549072266
2002-02-14,-0.914703531292613,-0.9111730635199116,-0.8947651137806426,-0.720223217657858,-0.9106851731157053,0.3147502442465,0.31671708156748535,-0.05729337308958837,-0.31671708156748557,-0.6471272236512717,-0.1935651053841828,73.62620544433594
2002-02-15,-0.9157850190435887,-0.9115095291883968,-0.8943744506299444,-0.7396949933217682,-0.9103937703229111,0.3159790023590332,0.3138994144420153,-0.08518563234457943,-0.3138994144420154,-0.6425888819799023,-0.30404562164510307,72.83079528808594
2002-02-19,-0.9174307612733342,-0.9121343940012978,-0.8939349545854087,-0.7672891561232349,-0.9106512508069917,0.3172414158460064,0.28724323868232915,-0.21445342461043349,-0.28724323868232915,-0.6388490857011291,-0.22274665429783824,71.50291442871094
2002-02-20,-0.9171956552405135,-0.912470859669783,-0.8948627795683172,-0.7517017870807936,-0.9117258587666104,0.3173775763984634,0.18259223682222014,-0.3950886231841624,-0.18259223682222026,-0.6776157525857347,-0.33921182636552527,72.66646575927734
2002-02-21,-0.9177128885127193,-0.9127592588141988,-0.8949116124621544,-0.7578757562595385,-0.9119110981508524,0.3178686577253358,0.23315639870296834,-0.1854008618856663,-0.23315639870296845,-0.6875676686209631,-0.5235035558904397,71.141357421875
2002-02-22,-0.9191705459162083,-0.913864788867793,-0.8956441058697139,-0.7673039585937412,-0.9130495625352345,0.3173044000253973,0.20407975242876475,-0.37107110080819916,-0.20407975242876453,-0.6731615200839235,-0.22294509552869912,72.06827545166016
2002-02-25,-0.9206752245262613,-0.9145377202047634,-0.8954487742943646,-0.7899588728164628,-0.9134418771689602,0.31695910477795985,0.15698307499320996,-0.22153841515797723,-0.15698307499320974,-0.6642887951751413,-0.1467062760074812,73.23839569091797
